order_id,customer_id,customer_name,age,gender,email,city,state,pincode,country,order_date,delivery_date,order_status,product_category,product_name,quantity,unit_price,total_price,discount_%,payment_method,shipping_carrier,delivery_days,express_delivery,warehouse_location,rating,review_sentiment,return_requested,customer_loyalty_tier
ORD100010,CUST6647,Bradley Russell,65,Other,brianmedina@example.org,San Antonio,Texas,190409,USA,07-07-2025,,Pending,Toys,Barbie Doll,1,51974.41,49375.69,5,Net Banking,FedEx,9,Yes,New York Hub,3.2,Positive,No,Bronze
ORD100011,CUST4633,Deborah Lee,35,female,heidi79@example.org,Yas Island,Abu Dhabi,254593,UAE,05-10-2025,,Cancelled,Toys,Barbie Doll,1,3358.2,3022.38,10,UPI,DHL,11,Yes,Abu Dhabi Hub,3.3,Negative,Yes,Silver
ORD100012,CUST7974,Daniel Jones,57,Female,hintonvictoria@example.com,Madurai,Tamil Nadu,828052,India,12-05-2024,14-05-2024,Returned,Fashion,Kurti,9,34513.03,279555.54,10,Cash on Delivery,Delhivery,2,no,Bengaluru Hub,3.5,,No,Bronze
ORD100013,CUST3145,Catherine Duran,27,Other,brownadriana@example.org,Geelong,Victoria,471994,Australia,21-01-2026,,Pending,Books,Biography,3,48158.93,130029.11,10,Debit card,Couriers Please,4,No,Sydney Hub,2,Negative,No,Silver
ORD100014,CUST2367,Rose Berger,30,Female,jason09@example.com,Coimbatore,Tamil Nadu,131358,India,29-11-2024,,Pending,Electronics,Smartwatch,5,34247.65,154114.43,10,Debit Card,Ekart,12,no,Chennai Hub,5,Neutral,No,Gold
ORD100015,CUST7061,Alyssa Morton,33,male,castroandrea@example.org,Saket,Delhi,497636,India,18-05-2025,23-05-2025,Delivered,Sports,Cricket Bat,8,59966.45,455745.02,5,credit card,DTDC,5,yes,Bengaluru Hub,3.9,Negative,Yes,Platinum
ORD100016,CUST6403,Debbie Martinez,63,F,moorefrank@example.com,Nagpur,Maharashtra,705527,India,08-02-2026,23-02-2026,Delivered,Grocery,Protein Powder,5,43555.29,195998.81,10,Credit Card,DTDC,15,yes,Bengaluru Hub,2.3,Positive,Yes,Silver
ORD100017,CUST3551,Colleen Evans,62,Other,mdavis@example.org,Rohini,Delhi,450394,India,15-05-2024,23-05-2024,Shipped,Toys,Barbie Doll,4,30278.82,109003.75,10,Debit card,DTDC,8,no,Bengaluru Hub,1.9,Negative,No,Silver
ORD100018,CUST9617,Kevin Patterson,53,M,kennethbaxter@example.org,Coimbatore,Tamil Nadu,698592,India,30-09-2025,02-10-2025,Returned,Grocery,Olive Oil,2,38256.44,76512.88,0,Cash on Delivery,Delhivery,2,yes,Mumbai Hub,4.8,Positive,No,Platinum
ORD100019,CUST1690,Logan Rivera,56,F,ryanbrooks@example.org,Nashik,Maharashtra,376372,India,16-07-2025,31-07-2025,Returned,Toys,Barbie Doll,8,6503.06,36417.14,30,Debit Card,FedEx,15,No,Bengaluru Hub,4.2,Positive,Yes,Bronze
ORD100020,CUST3318,Kelsey Thompson,30,male,howelldiane@example.com,Glasgow,Scotland,768093,UK,24-11-2024,,Cancelled,Electronics,Tablet,7,31500.15,176400.84,20,upi,Parcelforce,15,yes,London Hub,1.3,Neutral,Yes,Silver
ORD100021,CUST7447,Lori Carroll,62,Male,vincentmelissa@example.org,Bur Dubai,Dubai,904704,UAE,22-10-2024,31-10-2024,Delivered,Home & Kitchen,Curtains,7,42953.32,300673.24,0,Debit Card,FedEx,9,no,Abu Dhabi Hub,3.8,Positive,Yes,Silver
ORD100022,CUST1497,Kristin Johnson,46,male,jjimenez@example.com,London,Ontario,589424,Canada,21-07-2025,30-07-2025,Shipped,Home & Kitchen,Bedsheet,5,53627.36,241323.12,10,UPI,Purolator,9,Yes,Vancouver Hub,,Positive,Yes,Silver
ORD100023,CUST3998,Amanda Brown,23,male,annherrera@example.org,Syracuse,New York,399829,USA,04-03-2025,11-03-2025,Returned,Books,Textbook,1,37659.69,28244.77,25,credit card,USPS,7,Yes,New York Hub,5,,Yes,Silver
ORD100024,CUST5809,William Carter,31,Female,charles69@example.org,Madurai,Tamil Nadu,146827,India,08-11-2025,16-11-2025,Delivered,Beauty,Lipstick,5,75378.5,263824.75,30,Credit Card,BlueDart,8,Yes,Kolkata Hub,1.3,Neutral,No,Bronze
ORD100025,CUST9871,Anthony Ortega,27,F,nicole30@example.org,Newcastle,New South Wales,757305,Australia,02-05-2025,,Pending,Fashion,Sneakers,4,72237.22,260053.99,10,Net Banking,DHL,8,No,Melbourne Hub,2,Neutral,Yes,Gold
ORD100026,CUST4852,Mitchell Mathis,58,F,patriciabennett@example.com,Sacramento,California,155120,USA,20-03-2026,,Cancelled,Books,Comic Book,2,55134.45,110268.9,,Credit Card,FedEx,8,Yes,Texas Hub,,Neutral,Yes,Platinum
ORD100027,CUST2952,Vincent Petersen,58,Other,haynessamantha@example.net,Downtown Dubai,Dubai,448373,UAE,17-03-2026,26-03-2026,Returned,Fashion,T-Shirt,9,48638.97,393975.66,10,credit card,Aramex,9,Yes,Abu Dhabi Hub,,,Yes,Bronze
ORD100028,CUST6155,Tracy Stokes,49,female,andersongrace@example.com,Los Angeles,California,226243,USA,25-12-2024,03-01-2025,Shipped,Grocery,Organic Rice,10,24337.53,219037.77,10,Credit Card,FedEx,9,No,Texas Hub,2.4,Neutral,No,Silver
ORD100029,CUST1445,Katherine Garcia,36,Male,ojohnson@example.org,Wollongong,New South Wales,653165,Australia,27-01-2026,,Pending,Grocery,Dry Fruits,6,69199.71,373678.43,10,COD,Couriers Please,4,yes,Sydney Hub,,Negative,No,Silver
ORD100030,CUST6394,Dillon Franklin,46,male,kristywhite@example.net,Aberdeen,Scotland,946311,UK,12-05-2025,,Cancelled,Home & Kitchen,Bedsheet,10,15229.09,152290.9,0,COD,Royal Mail,8,yes,Manchester Hub,3,Negative,Yes,Platinum
ORD100031,CUST5455,William Fisher,47,Female,amber93@example.com,Bengaluru,Karnataka,516006,India,25-11-2024,09-12-2024,Shipped,Books,Self-Help Book,1,15035.88,15035.88,0,UPI,Delhivery,14,no,Kolkata Hub,2.1,Positive,Yes,Platinum
ORD100032,CUST1926,Ernest Parsons,48,Male,ybrown@example.com,Los Angeles,California,470801,USA,21-05-2025,27-05-2025,Returned,Toys,Barbie Doll,2,63219.37,120116.8,5,Net Banking,UPS,6,Yes,Texas Hub,2.1,Negative,Yes,Silver
ORD100033,CUST4744,Ashley Anderson,59,female,tnelson@example.com,Mumbai,Maharashtra,111855,India,08-01-2025,17-01-2025,Shipped,Home & Kitchen,Pressure Cooker,8,23089.26,157006.97,15,Net Banking,Ekart,9,Yes,Delhi Hub,3,Negative,No,Silver
ORD100034,CUST9178,Robert Moore,57,Male,ecohen@example.com,Mumbai,Maharashtra,132758,India,10-02-2026,13-02-2026,Delivered,Beauty,Hair Oil,5,40481.69,202408.45,,COD,BlueDart,3,yes,Chennai Hub,4.5,Negative,No,Platinum
ORD100035,CUST1981,Jesse Holland,46,M,jennifer74@example.net,Dallas,Texas,841629,USA,18-04-2026,20-04-2026,Delivered,Grocery,Protein Powder,8,65278.13,522225.04,,upi,UPS,2,No,New York Hub,4.7,Positive,Yes,Gold
ORD100036,CUST8356,Richard Lloyd,40,Male,jessicarodriguez@example.com,Coimbatore,Tamil Nadu,713952,India,15-02-2025,20-02-2025,Delivered,Toys,Puzzle,5,72878.88,255076.08,30,Credit Card,DTDC,5,yes,Kolkata Hub,2.4,Positive,No,Silver
ORD100037,CUST6677,Vincent Turner,34,female,sarah03@example.org,Albany,New York,768732,USA,30-01-2026,05-02-2026,Shipped,Grocery,Dry Fruits,5,19754.82,69141.87,30,UPI,USPS,6,no,Los Angeles Hub,4.4,Negative,Yes,Platinum
ORD100038,CUST4809,Aimee Cunningham,41,Female,aperry@example.com,Toronto,Ontario,246079,Canada,01-10-2025,,Pending,Beauty,Moisturiser,5,62422.91,296508.82,5,Debit Card,FedEx,9,Yes,Vancouver Hub,3.1,Neutral,No,Bronze
ORD100039,CUST4097,Kevin Torres,37,M,smithkaren@example.com,Hamilton,Ontario,254712,Canada,04-12-2025,06-12-2025,Returned,Toys,Remote Car,3,74517.36,201196.87,10,upi,Canada Post,2,Yes,Toronto Hub,1.2,Neutral,Yes,Bronze
ORD100040,CUST9134,Richard Randall,21,F,ericagordon@example.com,San Diego,California,822387,USA,01-03-2025,08-03-2025,Returned,Grocery,Protein Powder,1,25476.67,17833.67,30,Net Banking,DHL,7,yes,New York Hub,2.9,Positive,Yes,Gold
ORD100041,CUST1310,Michael Cummings,53,female,karenramirez@example.org,Pune,Maharashtra,217057,India,18-08-2025,,Pending,Toys,Puzzle,4,71088.91,284355.64,,Debit Card,Delhivery,3,Yes,Kolkata Hub,3.9,,No,Gold
ORD100042,CUST7762,Kimberly Wise,55,F,crossmatthew@example.com,Mysuru,Karnataka,208669,India,10-08-2025,18-08-2025,Delivered,Sports,Dumbbells,6,66237.75,337812.52,15,COD,Delhivery,8,no,Kolkata Hub,,,Yes,Gold
ORD100043,CUST2255,Raymond Rodriguez,65,Female,nathaniel47@example.com,Mumbai,Maharashtra,303334,India,29-12-2024,13-01-2025,Shipped,Sports,Cricket Bat,10,57351.65,401461.55,30,Debit card,Ekart,15,yes,Kolkata Hub,3.1,,Yes,Bronze
ORD100044,CUST4375,Cathy Ferguson,26,Female,callahanleslie@example.org,Madurai,Tamil Nadu,325852,India,28-06-2025,,Cancelled,Fashion,Sneakers,9,53426.66,384671.95,20,Cash on Delivery,BlueDart,9,Yes,Delhi Hub,2,Negative,Yes,Gold
ORD100045,CUST9198,Aaron Garrison,37,F,rogersmelanie@example.net,Dallas,Texas,220234,USA,02-12-2024,14-12-2024,Shipped,Home & Kitchen,Curtains,2,51577.12,92838.82,10,Debit Card,FedEx,12,no,New York Hub,4.6,Neutral,No,Bronze
ORD100046,CUST8348,Vanessa Anderson,47,M,peter34@example.net,Chennai,Tamil Nadu,865378,India,20-05-2024,01-06-2024,Shipped,Toys,Board Game,3,73778.96,221336.88,0,Debit card,Delhivery,12,Yes,Mumbai Hub,1.8,,Yes,Gold
ORD100047,CUST6297,Sherry Young,29,M,moonstephanie@example.com,Melbourne,Victoria,250636,Australia,23-12-2024,,Pending,Beauty,Sunscreen,6,50853.96,289867.57,5,Credit Card,Australia Post,6,no,Sydney Hub,4.7,Positive,No,Silver
ORD100048,CUST9743,Luis Rogers,55,F,pwallace@example.org,Glasgow,Scotland,217708,UK,28-12-2024,,Pending,Toys,Barbie Doll,7,71143.4,423303.23,15,UPI,Royal Mail,6,No,London Hub,1.2,Positive,Yes,Gold
ORD100049,CUST4181,Carlos Jenkins,33,male,kimberlyrichards@example.net,Bur Dubai,Dubai,392844,UAE,14-01-2025,,Pending,Beauty,Moisturiser,6,51909.27,249164.5,20,Debit Card,Emirates Post,12,yes,Dubai Hub,,Negative,No,Silver
ORD100050,CUST4665,Jill Sanders,56,male,fjoyce@example.org,Houston,Texas,877955,USA,17-11-2024,18-11-2024,Delivered,Books,Self-Help Book,9,5104.98,32161.37,30,Debit card,UPS,1,yes,Texas Hub,2.3,Positive,No,Platinum
ORD100051,CUST9180,Juan Garza,42,M,terrybrian@example.com,Downtown Dubai,Dubai,134670,UAE,22-10-2025,,Cancelled,Books,Self-Help Book,6,14944.28,62765.98,30,Credit Card,Aramex,2,no,Abu Dhabi Hub,,Negative,Yes,Bronze
ORD100052,CUST2292,Anna Mendez,40,male,aanderson@example.com,Ballarat,Victoria,812593,Australia,18-04-2025,20-04-2025,Delivered,Electronics,Laptop,7,25030.23,166451.03,5,Net Banking,Australia Post,2,yes,Melbourne Hub,4.1,,No,Platinum
ORD100053,CUST1049,Robert West,40,F,dadams@example.org,Geelong,Victoria,703214,Australia,08-08-2025,,Pending,Sports,Skipping Rope,10,43217.44,324130.8,25,upi,Couriers Please,10,No,Melbourne Hub,4,Positive,Yes,Gold
ORD100054,CUST9855,Eric Wells,40,Male,jordan33@example.net,Khalifa City,Abu Dhabi,360452,UAE,22-09-2024,,Cancelled,Sports,Skipping Rope,8,74634.7,537369.84,10,UPI,DHL,6,yes,Dubai Hub,,,Yes,Gold
ORD100055,CUST1149,Angel Smith,30,female,robertataylor@example.net,New Delhi,Delhi,937810,India,16-02-2026,,Cancelled,Books,Biography,2,30356.57,60713.14,0,Debit card,FedEx,5,Yes,Bengaluru Hub,1,Negative,No,Gold
ORD100056,CUST4783,Ryan Davis,27,Female,cassandrakhan@example.com,Dwarka,Delhi,765813,India,18-11-2025,01-12-2025,Delivered,Electronics,Smartwatch,2,46175.06,69262.59,25,Debit card,Delhivery,13,Yes,Bengaluru Hub,2.7,Neutral,Yes,Silver
ORD100057,CUST3035,Anna Jackson,59,Male,njohnson@example.org,Kelowna,British Columbia,355707,Canada,20-11-2025,,Cancelled,Grocery,Organic Rice,2,48995.25,83291.93,15,credit card,FedEx,2,no,Vancouver Hub,4.4,Negative,No,Silver
ORD100058,CUST7697,Nicole Rangel,26,M,tryan@example.org,Buffalo,New York,886945,USA,26-01-2025,27-01-2025,Delivered,Toys,Barbie Doll,10,2261.19,18089.52,20,Net Banking,FedEx,1,No,Los Angeles Hub,2.8,Positive,Yes,Silver
ORD100059,CUST5625,William Huff,27,Other,castroglenn@example.org,Ottawa,Ontario,898754,Canada,07-12-2024,10-12-2024,Delivered,Electronics,Earbuds,9,18380.23,115795.45,30,Credit Card,FedEx,3,No,Vancouver Hub,3,Positive,No,Silver
ORD100060,CUST9761,Elizabeth Johnson,19,female,deansteven@example.org,San Diego,California,946514,USA,09-02-2026,11-02-2026,Delivered,Books,Self-Help Book,1,17724.1,13293.07,25,upi,UPS,2,no,Texas Hub,4.4,Neutral,No,Bronze
ORD100061,CUST4420,Joanna Miller,23,F,baileyrobert@example.com,Saket,Delhi,251284,India,16-05-2025,31-05-2025,Shipped,Home & Kitchen,Curtains,6,59084.19,301329.37,15,upi,BlueDart,15,Yes,Chennai Hub,2.8,Negative,Yes,Bronze
ORD100062,CUST4792,Sandra Mccall,26,F,ronaldmahoney@example.org,Aberdeen,Scotland,747264,UK,28-03-2025,,Pending,Books,Fiction Novel,7,30100.97,200171.45,5,upi,DHL,1,Yes,London Hub,3.8,Negative,No,Platinum
ORD100063,CUST9582,David Ruiz,30,Other,maciasmary@example.net,Victoria,British Columbia,483283,Canada,15-02-2026,,Pending,Electronics,Smartwatch,3,9502.99,27083.52,5,Credit Card,Purolator,14,yes,Toronto Hub,,Negative,Yes,Gold
ORD100064,CUST5612,Kelly Kaufman,19,F,jackburgess@example.org,Mangaluru,Karnataka,840327,India,08-02-2026,21-02-2026,Returned,Grocery,Protein Powder,5,57650.61,288253.05,0,Net Banking,DTDC,13,no,Mumbai Hub,3.6,Negative,Yes,Gold
ORD100065,CUST2870,Bethany Lewis,41,Female,bushlisa@example.net,Hubli,Karnataka,543265,India,24-10-2025,29-10-2025,Shipped,Home & Kitchen,Air Fryer,2,42402.04,67843.26,20,credit card,Ekart,5,yes,Mumbai Hub,1.7,,No,Silver
ORD100066,CUST7438,Lisa Hooper,31,F,elizabeth43@example.net,London,England,348731,UK,06-03-2025,07-03-2025,Delivered,Toys,Board Game,10,18776.2,187762,0,Credit Card,Royal Mail,1,No,London Hub,1.3,,Yes,Bronze
ORD100067,CUST3239,William Price,30,male,gross@example.org,Birmingham,England,559920,UK,29-08-2024,08-09-2024,Delivered,Electronics,Earbuds,2,77451.88,116177.82,25,Debit Card,Royal Mail,10,yes,Manchester Hub,3.7,Neutral,No,Bronze
ORD100068,CUST1316,Jenna Padilla,40,female,frederickowen@example.com,Deira,Dubai,527055,UAE,28-08-2025,12-09-2025,Returned,Home & Kitchen,Mixer Grinder,1,10479.53,8383.62,20,credit card,FedEx,15,No,Abu Dhabi Hub,,Positive,No,Gold
ORD100069,CUST9234,Frank Brown,24,Male,jamiewest@example.net,Sydney,New South Wales,680532,Australia,16-11-2025,27-11-2025,Shipped,Sports,Badminton Racket,2,42116.77,80021.86,5,credit card,Couriers Please,11,yes,Sydney Hub,1.5,Negative,No,Platinum
ORD100070,CUST7425,Noah Durham,42,male,cindybrown@example.net,Wollongong,New South Wales,219869,Australia,18-05-2024,22-05-2024,Returned,Beauty,Moisturiser,6,3171.42,13319.96,30,Debit card,StarTrack,4,yes,Sydney Hub,1.4,Neutral,Yes,Bronze
ORD100071,CUST1780,Melissa Becker,21,Male,kenneth00@example.com,Dundee,Scotland,417445,UK,15-03-2026,,Pending,Books,Self-Help Book,7,60432.14,423024.98,0,Debit Card,Parcelforce,6,yes,Manchester Hub,3.4,Neutral,No,Bronze
ORD100072,CUST5853,Thomas Marshall,33,Female,gpeterson@example.net,Bendigo,Victoria,615604,Australia,09-06-2024,,Cancelled,Sports,Skipping Rope,10,63002.83,441019.81,30,Net Banking,Couriers Please,8,yes,Sydney Hub,2.6,,No,Gold
ORD100073,CUST1685,Shawn Calhoun,36,M,greenadam@example.com,Yas Island,Abu Dhabi,111667,UAE,25-01-2026,04-02-2026,Shipped,Toys,Board Game,3,4119.37,8650.68,30,Debit card,DHL,10,No,Abu Dhabi Hub,3.9,,Yes,Bronze
ORD100074,CUST1744,Terry Jones,60,F,samantha19@example.net,Ottawa,Ontario,345137,Canada,22-08-2025,,Cancelled,Books,Textbook,5,39251.28,157005.12,20,upi,FedEx,10,no,Vancouver Hub,3.2,Negative,Yes,Bronze
ORD100075,CUST1533,Kiara Smith,29,M,nthomas@example.org,San Antonio,Texas,668774,USA,10-02-2025,,Cancelled,Sports,Yoga Mat,7,63172.54,353766.22,20,COD,DHL,13,Yes,Los Angeles Hub,4.4,Negative,Yes,Bronze
ORD100076,CUST8575,Kathryn Garcia,43,female,ramirezethan@example.net,San Antonio,Texas,684058,USA,10-06-2025,15-06-2025,Shipped,Sports,Badminton Racket,8,70715.96,452582.14,20,credit card,FedEx,5,Yes,New York Hub,2.6,Neutral,No,Gold
ORD100077,CUST1428,Susan Campos,41,Male,hoffmanrobert@example.com,Canberra,New South Wales,796073,Australia,24-12-2024,,Cancelled,Beauty,Hair Oil,2,20442.92,38841.55,5,UPI,DHL,5,yes,Melbourne Hub,,,Yes,Gold
ORD100078,CUST7155,Eric Booker,44,male,michaelterry@example.org,Syracuse,New York,923727,USA,28-08-2025,,Pending,Grocery,Dry Fruits,10,67156.38,604407.42,10,Credit Card,FedEx,7,no,Texas Hub,2.1,Neutral,No,Gold
ORD100079,CUST2102,Kelly Singleton,63,Male,fpadilla@example.net,Albany,New York,815970,USA,20-06-2025,21-06-2025,Returned,Toys,Puzzle,2,59022.14,106239.85,10,credit card,USPS,1,no,New York Hub,1.1,,Yes,Platinum
ORD100080,CUST2466,John Smith,62,Other,laura77@example.net,Canberra,New South Wales,168968,Australia,19-01-2025,,Cancelled,Beauty,Lipstick,7,38363.33,268543.31,0,Net Banking,DHL,13,no,Sydney Hub,3.1,Positive,Yes,Gold
ORD100081,CUST5000,Krystal Ruiz,45,Other,hernandezbrandon@example.com,Wollongong,New South Wales,662810,Australia,29-10-2024,13-11-2024,Delivered,Beauty,Lipstick,2,69615.93,111385.49,20,credit card,Couriers Please,15,No,Sydney Hub,,Neutral,Yes,Bronze
ORD100082,CUST2146,Emily Bartlett,19,Female,andrewhayes@example.com,Rohini,Delhi,208481,India,18-02-2026,03-03-2026,Delivered,Books,Fiction Novel,3,62024.36,148858.46,20,credit card,DTDC,13,no,Chennai Hub,,Positive,No,Gold
ORD100083,CUST5652,Mitchell Murray,36,female,taylorrebecca@example.com,Wollongong,New South Wales,730665,Australia,24-07-2024,,Cancelled,Sports,Cricket Bat,1,242696.37,169887.46,30,UPI,Australia Post,4,No,Melbourne Hub,4.1,,No,Silver
ORD100084,CUST4437,Robin Cunningham,60,M,bhowell@example.com,Khalifa City,Abu Dhabi,892620,UAE,01-08-2024,03-08-2024,Returned,Fashion,Saree,2,34818.62,69637.24,0,COD,Aramex,2,No,Dubai Hub,,Negative,Yes,Platinum
ORD100085,CUST3091,Tara Gilbert,25,Male,rogertorres@example.org,Dallas,Texas,670424,USA,18-03-2026,19-03-2026,Shipped,Grocery,Olive Oil,2,74041.89,148083.78,0,credit card,FedEx,1,Yes,Texas Hub,3.9,Neutral,No,Gold
ORD100086,CUST5046,Clayton Miller,39,Female,amy20@example.org,San Antonio,Texas,721213,USA,22-08-2025,01-09-2025,Delivered,Grocery,Olive Oil,3,28858.56,60602.98,30,Credit Card,UPS,10,No,New York Hub,3.4,Neutral,No,Silver
ORD100087,CUST7309,Aaron Clark,40,Female,epeterson@example.com,Ballarat,Victoria,450048,Australia,24-09-2024,07-10-2024,Delivered,Sports,Yoga Mat,9,21449.61,173741.84,10,Debit Card,Couriers Please,13,Yes,Sydney Hub,,,No,Platinum
ORD100088,CUST8127,Caleb Garner,19,female,brittany53@example.org,San Diego,California,428906,USA,12-09-2024,18-09-2024,Delivered,Fashion,Kurti,1,33758.79,27007.03,20,credit card,USPS,6,No,Texas Hub,2.5,,Yes,Gold
ORD100089,CUST7389,Christina Hunt,57,Female,wramirez@example.net,Al Ain,Abu Dhabi,834861,UAE,16-07-2025,31-07-2025,Shipped,Books,Self-Help Book,2,59101.41,118202.82,0,COD,Emirates Post,15,yes,Abu Dhabi Hub,4.3,,Yes,Bronze
ORD100090,CUST1146,John Cole,65,Other,stevenspatrick@example.com,Sacramento,California,129984,USA,19-03-2025,,Cancelled,Grocery,Olive Oil,1,66799.77,56779.8,15,Credit Card,FedEx,6,Yes,Texas Hub,4.4,Positive,No,Silver
ORD100091,CUST2927,Lisa Baxter,46,Male,mcintyrenicole@example.com,Toronto,Ontario,946918,Canada,11-06-2024,,Pending,Grocery,Organic Rice,3,55695.12,158731.09,5,credit card,FedEx,2,No,Vancouver Hub,1.7,Neutral,Yes,Platinum
ORD100092,CUST1528,Julie Dougherty,50,Male,kennethroberts@example.net,Dwarka,Delhi,103139,India,16-05-2024,29-05-2024,Returned,Toys,Puzzle,3,17358.01,49470.33,5,Net Banking,DTDC,13,Yes,Mumbai Hub,2,,Yes,Gold
ORD100093,CUST4006,Michael Morris,39,female,anthony68@example.org,New York City,New York,861162,USA,18-01-2026,30-01-2026,Returned,Fashion,Jacket,2,37074.78,74149.56,0,Credit Card,DHL,12,no,Los Angeles Hub,2,Positive,No,Silver
ORD100094,CUST9291,Nicole Harvey,27,female,timothy57@example.com,Saket,Delhi,266866,India,26-12-2024,03-01-2025,Delivered,Sports,Badminton Racket,10,16078.23,136664.95,15,Cash on Delivery,FedEx,8,Yes,Delhi Hub,3.1,Positive,No,Platinum
ORD100095,CUST6578,Keith Smith,39,Other,jmiles@example.net,Wollongong,New South Wales,295655,Australia,16-07-2025,20-07-2025,Delivered,Books,Fiction Novel,9,9637.89,73729.86,15,Cash on Delivery,Couriers Please,4,yes,Sydney Hub,4.4,Negative,Yes,Bronze
ORD100096,CUST6958,Jacob Woodard,36,male,cookmarissa@example.net,Surrey,British Columbia,853818,Canada,15-09-2024,,Cancelled,Toys,Remote Car,6,19988.45,119930.7,,Credit Card,Canada Post,5,no,Vancouver Hub,2.6,Negative,No,Platinum
ORD100097,CUST1366,Holly Pruitt,48,male,aaronbenjamin@example.org,Bengaluru,Karnataka,264596,India,15-02-2025,20-02-2025,Returned,Electronics,Tablet,6,37019.9,155483.58,30,upi,Ekart,5,Yes,Delhi Hub,,Neutral,No,Gold
ORD100098,CUST7824,Robert Mcdonald,36,female,kevinhuynh@example.com,Liverpool,England,540947,UK,19-12-2024,31-12-2024,Shipped,Toys,Remote Car,5,4239.28,14837.48,30,credit card,DHL,12,yes,Manchester Hub,1.5,Positive,No,Gold
ORD100099,CUST4990,Dennis Fox,28,M,xfox@example.com,Canberra,New South Wales,937216,Australia,14-01-2025,22-01-2025,Returned,Toys,Barbie Doll,8,54401.42,348169.09,20,COD,DHL,8,Yes,Sydney Hub,3.4,,No,Platinum
ORD100100,CUST1363,Michael Ruiz,32,F,thomas33@example.net,Bengaluru,Karnataka,476579,India,08-03-2025,19-03-2025,Delivered,Grocery,Dry Fruits,10,28197.26,197380.82,30,credit card,DTDC,11,no,Mumbai Hub,,Neutral,Yes,Silver
ORD100101,CUST2261,Wesley Dunn,38,Other,tiffanylawrence@example.com,Albany,New York,579294,USA,27-07-2025,30-07-2025,Shipped,Toys,Board Game,3,65996.45,138592.54,30,Cash on Delivery,FedEx,3,No,New York Hub,,Positive,No,Gold
ORD100102,CUST9506,Angela Gardner,54,female,davisdonald@example.net,Yas Island,Abu Dhabi,778528,UAE,15-08-2024,29-08-2024,Returned,Electronics,Smartphone,2,48709.65,82806.4,15,Debit Card,Aramex,14,no,Dubai Hub,2.6,Positive,Yes,Bronze
ORD100103,CUST2329,Jennifer Blair,48,Female,peterrodgers@example.org,London,England,261767,UK,30-05-2025,09-06-2025,Shipped,Electronics,Smartphone,1,46391.87,34793.9,25,Credit Card,DHL,10,yes,Manchester Hub,4.6,Negative,No,Platinum
